"TimeCreated","LogName","ProviderName","EventId","Level","RecordId","MachineName","UserId","ProcessId","ThreadId"
"22-04-2026 9.03.20 PM","Microsoft-Windows-PowerShell/Operational","Microsoft-Windows-PowerShell","53504","Information","13573","DESKTOP-G8U5C6E","S-1-5-21-3910806486-1924480113-2393903152-1001","14864","7876"
"22-04-2026 9.03.20 PM","Microsoft-Windows-PowerShell/Operational","Microsoft-Windows-PowerShell","40961","Information","13572","DESKTOP-G8U5C6E","S-1-5-21-3910806486-1924480113-2393903152-1001","14864","22832"
"22-04-2026 9.03.16 PM","Microsoft-Windows-PowerShell/Operational","Microsoft-Windows-PowerShell","40962","Information","13571","DESKTOP-G8U5C6E","S-1-5-21-3910806486-1924480113-2393903152-1007","21312","21128"
"22-04-2026 9.03.16 PM","Microsoft-Windows-PowerShell/Operational","Microsoft-Windows-PowerShell","53504","Information","13570","DESKTOP-G8U5C6E","S-1-5-21-3910806486-1924480113-2393903152-1007","21312","24132"
"22-04-2026 9.03.16 PM","Microsoft-Windows-PowerShell/Operational","Microsoft-Windows-PowerShell","40961","Information","13569","DESKTOP-G8U5C6E","S-1-5-21-3910806486-1924480113-2393903152-1007","21312","21128"
"22-04-2026 9.03.13 PM","Microsoft-Windows-PowerShell/Operational","Microsoft-Windows-PowerShell","40962","Information","13568","DESKTOP-G8U5C6E","S-1-5-21-3910806486-1924480113-2393903152-1001","20996","23268"
"22-04-2026 9.03.13 PM","Microsoft-Windows-PowerShell/Operational","Microsoft-Windows-PowerShell","53504","Information","13567","DESKTOP-G8U5C6E","S-1-5-21-3910806486-1924480113-2393903152-1001","20996","22632"
"22-04-2026 9.03.13 PM","Microsoft-Windows-PowerShell/Operational","Microsoft-Windows-PowerShell","40961","Information","13566","DESKTOP-G8U5C6E","S-1-5-21-3910806486-1924480113-2393903152-1001","20996","23268"
"22-04-2026 9.03.07 PM","Microsoft-Windows-PowerShell/Operational","Microsoft-Windows-PowerShell","40962","Information","13565","DESKTOP-G8U5C6E","S-1-5-21-3910806486-1924480113-2393903152-1001","23624","19552"
"22-04-2026 9.03.07 PM","Microsoft-Windows-PowerShell/Operational","Microsoft-Windows-PowerShell","53504","Information","13564","DESKTOP-G8U5C6E","S-1-5-21-3910806486-1924480113-2393903152-1001","23624","20072"
"22-04-2026 9.03.07 PM","Microsoft-Windows-PowerShell/Operational","Microsoft-Windows-PowerShell","40961","Information","13563","DESKTOP-G8U5C6E","S-1-5-21-3910806486-1924480113-2393903152-1001","23624","19552"
"22-04-2026 9.02.59 PM","Microsoft-Windows-PowerShell/Operational","Microsoft-Windows-PowerShell","40962","Information","13562","DESKTOP-G8U5C6E","S-1-5-21-3910806486-1924480113-2393903152-1001","22144","14220"
"22-04-2026 9.02.59 PM","Microsoft-Windows-PowerShell/Operational","Microsoft-Windows-PowerShell","53504","Information","13561","DESKTOP-G8U5C6E","S-1-5-21-3910806486-1924480113-2393903152-1001","22144","23436"
