"TimeCreated","LogName","ProviderName","EventId","Level","RecordId","MachineName","UserId","ProcessId","ThreadId"
"23-04-2026 12.11.33 AM","Application","SecurityCenter","15","Information","12982","DESKTOP-G8U5C6E",,"16764","0"
"23-04-2026 12.06.56 AM","Application","SecurityCenter","15","Information","12981","DESKTOP-G8U5C6E",,"16764","0"
"23-04-2026 12.06.55 AM","Application","Microsoft-Windows-Security-SPP","16384","Information","12980","DESKTOP-G8U5C6E",,"24584","0"
"23-04-2026 12.06.29 AM","Application","Microsoft-Windows-RestartManager","10005","Information","12979","DESKTOP-G8U5C6E","S-1-5-18","26792","18816"
"23-04-2026 12.06.28 AM","Application","Microsoft-Windows-RestartManager","10010","Warning","12978","DESKTOP-G8U5C6E","S-1-5-18","26792","18816"
"23-04-2026 12.06.28 AM","Application","Microsoft-Windows-RestartManager","10010","Warning","12977","DESKTOP-G8U5C6E","S-1-5-18","26792","18816"
"23-04-2026 12.06.28 AM","Application","Microsoft-Windows-RestartManager","10010","Warning","12976","DESKTOP-G8U5C6E","S-1-5-18","26792","18816"
"23-04-2026 12.06.28 AM","Application","Microsoft-Windows-RestartManager","10000","Information","12975","DESKTOP-G8U5C6E","S-1-5-18","26792","18816"
"23-04-2026 12.06.25 AM","Application","Microsoft-Windows-RestartManager","10000","Information","12974","DESKTOP-G8U5C6E","S-1-5-21-3910806486-1924480113-2393903152-1001","20368","25616"
"23-04-2026 12.06.23 AM","Application","Microsoft-Windows-Security-SPP","16394","Information","12973","DESKTOP-G8U5C6E",,"24584","0"
"22-04-2026 11.50.17 PM","Application","Microsoft-Windows-Security-SPP","16384","Information","12972","DESKTOP-G8U5C6E",,"26388","0"
"22-04-2026 11.49.46 PM","Application","Microsoft-Windows-Security-SPP","16394","Information","12971","DESKTOP-G8U5C6E",,"26388","0"
"22-04-2026 11.47.41 PM","Application","Microsoft-Windows-Security-SPP","16384","Information","12970","DESKTOP-G8U5C6E",,"6156","0"
"22-04-2026 11.47.11 PM","Application","Microsoft-Windows-Security-SPP","16394","Information","12969","DESKTOP-G8U5C6E",,"6156","0"
"22-04-2026 11.31.08 PM","Application","VBScriptDeprecationAlert","4096",,"12968","DESKTOP-G8U5C6E",,"23232","0"
"22-04-2026 10.56.48 PM","Application","VBScriptDeprecationAlert","4096",,"12967","DESKTOP-G8U5C6E",,"24708","0"
